msno,is_churn,city,bd,gender,registered_via,registration_init_time,num_100,num_25,total_secs,completion_rate,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
t5rqTxCnG7s5VBgEfdkQCezv5KBK7+DMujNibYgylrs=,1,13.0,0.0,,9.0,20140307.0,371.0,46.0,101555.35,7.8936170212765955,38.0,30.0,149.0,149.0,0.0,20170216.0,20170417.0,0.0
dfLS2/Pom6O3iUpo+mf/K1Bc6g+7LFKzoNf+zlJtDoQ=,1,1.0,0.0,,7.0,20140323.0,304.0,48.0,79802.016,6.204081632653061,41.0,30.0,99.0,99.0,1.0,20170304.0,20170505.0,0.0
a7AtvhlY8KnKZGpiVe+4HhFerqTEgmno3x7Rc7YGwzw=,1,13.0,32.0,,7.0,20140324.0,197.0,72.0,54217.89,2.6986301369863015,41.0,30.0,149.0,149.0,1.0,20170321.0,20170321.0,1.0
F45GsXJIeLvzUJqz/v4R/6CVYPdek7K4Leu+aqbCRo8=,1,1.0,0.0,,3.0,20140402.0,1008.0,111.0,280640.12,9.0,38.0,30.0,149.0,149.0,0.0,20170304.0,20170404.0,0.0
SJCoxreWp6Cu9WPitvAT6pZ9gChiSR4tWP4lvJGdxSM=,1,12.0,21.0,male,3.0,20140407.0,471.0,32.0,126360.11,14.272727272727273,,,,,,,,
Oo2RDQixJ0pRWqec4/CksiKwhz0Za0yU2GIQtKa1JFk=,1,6.0,20.0,female,9.0,20140415.0,27.0,47.0,11080.699,0.5625,,,,,,,,
f91n3lDipDjRtAVNgMGnTsxP0VrzDsfB0Hdth12gqQE=,1,1.0,0.0,,7.0,20140420.0,,,,,41.0,30.0,149.0,149.0,1.0,20151220.0,20170820.0,0.0
/L2095JD4M/BNLTCboucgyuT2i8JIiJ87bOIsxtFvBw=,1,1.0,0.0,,7.0,20140425.0,23.0,4.0,9184.912,4.6,41.0,30.0,149.0,149.0,1.0,20170320.0,20170320.0,1.0
1AzXWFlRO6EfMBzfBdk98sBVnjzY7U1G24mVFNdzGNQ=,1,14.0,29.0,male,3.0,20140510.0,977.0,569.0,262754.78,1.7140350877192982,32.0,90.0,298.0,298.0,0.0,20170308.0,20170606.0,0.0
WkF/FvlzpBLFoa+Hm3hagOfme2pHLE2y+RJ3eGcLT0k=,1,1.0,0.0,,7.0,20140515.0,,,,,,,,,,,,
w2O0vchmncaBEQLoC5Pn7qRoSPiJ6X2x5O+woVFDhnY=,1,13.0,0.0,,9.0,20140605.0,23.0,10.0,6279.574,2.090909090909091,40.0,30.0,149.0,149.0,1.0,20170311.0,20170314.0,1.0
nGmbdyGVU+LCI2SXyYosErJCCYp371hQNP91BpP2d2I=,1,13.0,38.0,male,3.0,20140608.0,615.0,80.0,176134.33,7.592592592592593,32.0,180.0,536.0,536.0,0.0,20170323.0,20170922.0,0.0
SlkPQrh6oIqsdpW+Sl2adYlJNEwWSQsIYycM11dSUQg=,1,14.0,49.0,male,7.0,20140611.0,,,,,,,,,,,,
qpV8BYuYz/Z7LFqEuo2QEMfwWWxdCIQQT4X/XsPXwhc=,1,13.0,20.0,female,9.0,20140622.0,1095.0,82.0,279410.1,13.19277108433735,,,,,,,,
ePx+sYifOKWLbG1fC8Gy2rjlg92Z7+Blxj94zzyC2+g=,1,22.0,18.0,male,9.0,20140719.0,374.0,199.0,115411.31,1.87,32.0,180.0,600.0,600.0,0.0,20170314.0,20170919.0,0.0
Z9Y6f2hXZpPIvbLgHHgUncs7Tb+qmKgGNSwwVAiMlm0=,1,12.0,21.0,female,9.0,20140719.0,319.0,4.0,71889.83,63.8,,,,,,,,
z+DiUWa91dI277IJDsJLTTe61ho3oRnUG/0UXS+y8Mk=,1,5.0,24.0,female,3.0,20140719.0,1039.0,155.0,224041.94,6.660256410256411,,,,,,,,
TotbNxPUifAoL9diWEMXcRnBgKDStI/a/SdXcf5WhfQ=,1,4.0,17.0,female,3.0,20140812.0,755.0,195.0,196523.9,3.8520408163265305,38.0,30.0,149.0,149.0,0.0,20170308.0,20170408.0,0.0
NTOh3fAZrLoIyE1lxoRpp2lzEraNnnWbUvOhrmO1bUM=,1,,,,,,,,,,41.0,30.0,149.0,149.0,1.0,20151219.0,20170620.0,0.0
wLtPucL8EyK8yUp+F9J1S8Ad/D9CRA8kSB0maalwzjE=,1,4.0,31.0,female,3.0,20140828.0,205.0,28.0,53938.758,7.068965517241379,40.0,30.0,149.0,149.0,1.0,20170314.0,20170418.0,0.0
rdo4D3m1pjcjKetV5Q9pZV17Aj48asG/n68oTCp8wF4=,1,15.0,18.0,female,9.0,20140904.0,239.0,103.0,59804.46,2.298076923076923,38.0,195.0,894.0,894.0,0.0,20170306.0,20170917.0,0.0
vB93EXVDcHOpGgK7K7dK+XyGS3t51TxKO4G6Yoq/gls=,1,1.0,22.0,,9.0,20140904.0,141.0,55.0,41030.88,2.517857142857143,32.0,180.0,600.0,600.0,0.0,20170314.0,20170911.0,0.0
v1LhGZzRFxYwWjW98zEG47ZGHfxiOK885mFyaRH2+CE=,1,6.0,29.0,male,9.0,20140909.0,2.0,0.0,581.165,2.0,,,,,,,,
E1VDIwvaQSGhUOIWU17U4T6QHdCx/WEwEFDTuFUl4uk=,1,13.0,0.0,,9.0,20140915.0,155.0,224.0,58573.258,0.6888888888888889,,,,,,,,
L9W/dW7SdNQD2ve5egWKsXdBNKL0+3lFyG4FDXZMvpM=,1,13.0,30.0,female,7.0,20140916.0,215.0,22.0,51134.61,9.347826086956522,41.0,30.0,149.0,149.0,1.0,20170319.0,20170320.0,1.0
ec8IfcFcaF5NBLMnFzyRcnAMUmgZ46kHw7P1qHEm0o0=,1,13.0,24.0,female,3.0,20140920.0,739.0,349.0,191605.19,2.111428571428571,40.0,30.0,149.0,149.0,1.0,20170323.0,20170429.0,0.0
/66xO0tgKHeHrtaULlc3sOtEysp2v2y+kjcaqXScvyo=,1,4.0,23.0,female,3.0,20140927.0,29.0,13.0,9277.403,2.0714285714285716,39.0,30.0,149.0,149.0,1.0,20170327.0,20170408.0,1.0
LZjqFj4TwHsByrOSyjUp9l/B9WOF34HGX0Hx7uiQ5xQ=,1,18.0,28.0,male,9.0,20141001.0,357.0,115.0,92169.78,3.0775862068965516,32.0,410.0,1788.0,1788.0,0.0,20170325.0,20180512.0,0.0
Gqxxbi5kH6QflIs4kHIgLCxQ2ic64YtuJGL9bTr0jPo=,1,12.0,23.0,male,3.0,20141016.0,747.0,687.0,217985.11,1.0857558139534884,32.0,410.0,1788.0,1788.0,0.0,20170324.0,20180508.0,0.0
FXTWvnLLSZAYau0nbBFchRJjXjQNY0h5ZaIgVRsfHkA=,1,3.0,29.0,male,9.0,20141017.0,408.0,309.0,133572.14,1.3161290322580645,32.0,195.0,894.0,894.0,0.0,20170301.0,20170920.0,0.0
WpYNkiRMP3vgJRyq4TQzn7y8O0I7RWtXLXUorHClllg=,1,21.0,0.0,,9.0,20141030.0,163.0,115.0,49223.14,1.4051724137931034,39.0,30.0,149.0,149.0,1.0,20170330.0,20170406.0,1.0
2OaV7/7vyAA2FrCkV4qXZEZYg5IzVyFNkQnQorgQ440=,1,1.0,0.0,,7.0,20141103.0,715.0,211.0,213357.36,3.3726415094339623,41.0,30.0,100.0,100.0,1.0,20170315.0,20170622.0,0.0
VCZm6WJqkwDhmConNXKrPly5XJWE26zjE7FL9tlSqww=,1,15.0,19.0,male,3.0,20141112.0,907.0,1085.0,303608.12,0.8351749539594844,32.0,360.0,1200.0,1200.0,0.0,20170306.0,20180226.0,0.0
X8LgKdBKWPyEU/K1t0tyLoUpmgDo8LHCT04XhEQQLGI=,1,13.0,19.0,female,9.0,20141115.0,53.0,9.0,12760.081,5.3,,,,,,,,
kcDjmWgpg+xZtfVY4xL8M6CjEGSVB1wyUR8/0vaF1bQ=,1,5.0,38.0,female,3.0,20141130.0,291.0,146.0,98399.69,1.9795918367346939,,,,,,,,
uLqyhOWstrpGg912FutUVf8s+S+SNzAXS9mnsju3kuY=,1,1.0,0.0,,9.0,20141206.0,46.0,65.0,13099.879,0.696969696969697,,,,,,,,
Y72xmoQSd3DaR1LRl3GcSdsHuIwzI9JYrLVgNIIQJjg=,1,4.0,23.0,male,9.0,20141210.0,13.0,17.0,3399.785,0.7222222222222222,,,,,,,,
A4rmf+FWZ60Ttm7sqK+PkJxpU75PKH3TiUtLLt5UXWY=,1,22.0,36.0,female,9.0,20141229.0,722.0,56.0,166792.66,12.666666666666666,32.0,410.0,1788.0,1788.0,0.0,20170315.0,20180512.0,0.0
JOe9SbNNAGFUJ20nT5v2H0scmeVZrBGtWHbSCTqxSZk=,1,4.0,26.0,male,3.0,20150103.0,97.0,99.0,26608.57,0.97,,,,,,,,
Dn+APxD82JfgrAVfvfxAJfDZ53iKHGyP1I9FofL/7uM=,1,14.0,40.0,,9.0,20150105.0,246.0,105.0,70747.24,2.3207547169811322,40.0,30.0,149.0,149.0,1.0,20170217.0,20170902.0,1.0
dHKBDAvI+6a5zazRxM/NCyh4gxpJO3b1wgtuDNFmx+s=,1,13.0,21.0,male,3.0,20150105.0,26.0,18.0,7388.909,1.368421052631579,38.0,30.0,149.0,149.0,0.0,20170301.0,20170331.0,0.0
pBXnYkKeo1HldqKCHfKN61EEwwEdZa4fD6c2AfK4a2k=,1,15.0,21.0,female,3.0,20150113.0,449.0,47.0,126094.04,9.354166666666666,32.0,180.0,536.0,536.0,0.0,20170330.0,20170929.0,0.0
eIy3QZqQwAmXIBJor4mgcsi/wNOQ549OyGfLGfYN5SQ=,1,14.0,0.0,,7.0,20150126.0,76.0,34.0,32042.127,2.1714285714285713,,,,,,,,
wX46D1vWL2z/hooi14ec+JxWDozPZHkPDALcjUrI7VU=,1,1.0,0.0,,9.0,20150128.0,420.0,184.0,125739.63,2.27027027027027,38.0,30.0,149.0,149.0,0.0,20170312.0,20170412.0,0.0
XUmb2T+qAoaU8WRp2SwvszARE29nJHiR/O5mRd8KPIg=,1,5.0,19.0,female,9.0,20150130.0,606.0,397.0,190150.44,1.5226130653266332,,,,,,,,
ogP6gr6Fr9GAkLEXgMYtypFcTOHudzJrCD/VDnhR6w8=,1,13.0,21.0,male,3.0,20150204.0,631.0,101.0,153195.62,6.186274509803922,38.0,90.0,477.0,477.0,0.0,20170325.0,20170623.0,0.0
yaaTlGsOcs824LLK3uA54Q7GdKgwYCuTS0fR8ZBgImc=,1,4.0,35.0,female,3.0,20150208.0,365.0,76.0,90999.445,4.740259740259741,,,,,,,,
MDaNIcLC2mu633sx1FPwCjXEHOVDOVImyoUNu+CE1zs=,1,4.0,0.0,,9.0,20150209.0,123.0,39.0,33702.86,3.075,,,,,,,,
AFpVIx7pMZk+1zEwjCUk4h+sDt7Yw3hxBduL1Gos61M=,1,1.0,0.0,,9.0,20150224.0,72.0,24.0,20246.447,2.88,,,,,,,,
+wisdxP166qHezQOKLPv4l4AfZClRF3ExWGD2rzYYCU=,1,,,,,,,,,,41.0,30.0,149.0,149.0,1.0,20170306.0,20170306.0,1.0
94zcjPEiJ4EuUcGeWt0AwYh1A+5WZh9OqekbG0raRWY=,1,15.0,23.0,male,9.0,20150331.0,1426.0,211.0,393831.28,6.726415094339623,32.0,360.0,1200.0,1200.0,0.0,20170321.0,20180314.0,0.0
prdUZGxqqZsogFuP8mUe+2ty4g2lsXn7wHtIMJUqPV8=,1,15.0,20.0,female,3.0,20150404.0,1645.0,215.0,431786.25,7.6157407407407405,38.0,90.0,447.0,447.0,0.0,20170327.0,20170626.0,0.0
07BqZinAC48xGnZjsnufxMnduRW0M3Tcs7hTK62ygTs=,1,22.0,19.0,female,3.0,20150421.0,684.0,219.0,170376.25,3.109090909090909,38.0,90.0,477.0,477.0,0.0,20170215.0,20170617.0,0.0
rDVp6uAfDKF2k8KnUgnT5Bi+a8fY9mkG4WaZTekLYkQ=,1,9.0,23.0,male,3.0,20150422.0,91.0,17.0,22994.164,5.055555555555555,,,,,,,,
6OlZbbgM+0PjnShnk82ORhLuBaqn6m0bv+I/x9bpmHs=,1,1.0,34.0,female,3.0,20150427.0,10.0,0.0,3766.861,10.0,,,,,,,,
9JzSBttiM01GFi7KjlL9pQz8vQyyvga1o5SbPMMFQXU=,1,22.0,19.0,male,9.0,20150502.0,1227.0,595.0,335510.75,2.0587248322147653,38.0,30.0,149.0,149.0,0.0,20170322.0,20170426.0,0.0
BbZqi8/fqi1ewopTtBQWZCSjVqzDfdZOGI+LUd4K3GA=,1,15.0,41.0,female,3.0,20150503.0,3.0,0.0,739.0,3.0,,,,,,,,
90ue6P2rD7/ZrZ2Y5o0oTT7zV4C69X0w3YSXbXDFUIw=,1,1.0,0.0,,9.0,20150522.0,64.0,19.0,18112.615,3.2,,,,,,,,
GgioFqim8so7dmPzybdXbObnn3c9e1T7LaPCEpMcVOY=,1,14.0,24.0,female,3.0,20150524.0,1615.0,323.0,410550.47,4.984567901234568,36.0,30.0,180.0,180.0,0.0,20170328.0,20170429.0,0.0
VIAw9HT2sdbdK+26/I5vtEOSjJgY4FV9rYjihXZ+iqY=,1,4.0,0.0,,9.0,20150603.0,,,,,37.0,30.0,149.0,149.0,1.0,20170301.0,20170317.0,1.0
Y6o+fMX+4GvFbhTcPDRn6envODPBmyDEFJuFrnec5uA=,1,1.0,0.0,,9.0,20150603.0,21.0,1.0,4121.759,10.5,,,,,,,,
z/7ngw+t+95wOC/87OociYkLYS/Yxmw+hhvAjKCLkDU=,1,13.0,25.0,female,3.0,20150605.0,681.0,419.0,174595.1,1.6214285714285714,32.0,240.0,1200.0,1200.0,0.0,20170313.0,20171108.0,0.0
g5H4gUXqJD4mAVThlifJjRtCqWKdOhTjfY4MhG4FExw=,1,3.0,18.0,male,9.0,20150609.0,64.0,218.0,20754.057,0.2922374429223744,,,,,,,,
Ym/ZP1Wl1oMsxFArVmmBtQ13S17ltBRsMi4UR7Vo7jI=,1,6.0,30.0,female,3.0,20150711.0,489.0,74.0,131712.72,6.52,32.0,410.0,1788.0,1788.0,0.0,20170317.0,20180509.0,0.0
HpcX2PjJUAwLxsjs2XpRAme3RY/c2sxukljHLADaqXg=,1,1.0,0.0,,7.0,20150724.0,267.0,24.0,74743.98,10.68,41.0,30.0,99.0,99.0,1.0,20170324.0,20170525.0,0.0
P9FjH43/pjIS6PwcXP8VcA+P4RTq/mH+F3DLuXDpFkE=,1,,,,,,,,,,41.0,30.0,99.0,99.0,1.0,20170322.0,20170322.0,1.0
9BjHubtpNJseksl2rlLhv7RVJ0Lnq7G5FcB1MDXm/gI=,1,22.0,26.0,female,3.0,20150727.0,263.0,19.0,66853.11,13.15,,,,,,,,
oMECEU07r5P6ND9mayVJIVTI9RUixz8YVvaivaDYWvI=,1,1.0,0.0,,7.0,20150802.0,121.0,75.0,35624.0,1.5921052631578947,35.0,7.0,0.0,0.0,0.0,20170220.0,20180601.0,0.0
alu7Qp5e+1KSZlKKb4SUWQPFtvxO8OA3HbwLF9wHPSY=,1,1.0,0.0,,9.0,20150803.0,21.0,31.0,8135.4062,0.65625,36.0,30.0,180.0,180.0,1.0,20170306.0,20170305.0,1.0
k7bE7mrFGS+PxQfb98pG0HJ8/5OXED8BaH0YCzJWMiA=,1,22.0,21.0,female,9.0,20150806.0,47.0,30.0,11040.498,1.5161290322580645,,,,,,,,
3s5Bn4gcF5NrGMmG62c9hLVitansQ4JtLpz58c7g8JU=,1,22.0,0.0,,9.0,20150808.0,97.0,9.0,23086.88,9.7,,,,,,,,
0X8DtYueSELf4i3CSIvM5mAVi79jeL+MjApla71aLTw=,1,13.0,19.0,male,3.0,20150810.0,0.0,3.0,346.147,0.0,,,,,,,,
SIjDaCso6JLvWzFdIE0zvLj6aw1cGIdJ1+MpueOWMrs=,1,5.0,34.0,female,3.0,20150812.0,,,,,,,,,,,,
Q/S7jZ/6XtHOaJStQaM89sdC8e5yn22KwkR4PzgJzFk=,1,1.0,24.0,male,3.0,20150812.0,,,,,,,,,,,,
W7YiFJW+oHeMthKTtLNcUVjMU9ccjIGsAkfFC+M4x4Q=,1,13.0,27.0,,9.0,20150814.0,1393.0,77.0,328185.62,17.858974358974358,36.0,30.0,180.0,180.0,0.0,20170307.0,20170408.0,0.0
Ybp7mbACy/qnytzEr8rZykiEyL23ESsAIZRo17VAT/8=,1,,,,,,,,,,41.0,30.0,99.0,99.0,1.0,20170311.0,20170311.0,1.0
2l0VkVyZk8+TEN2fiOfufZjqZ69MGmLL4hS3VBXtOHY=,1,5.0,27.0,male,3.0,20150817.0,20.0,0.0,5801.26,20.0,36.0,30.0,180.0,180.0,1.0,20170328.0,20170605.0,0.0
bDAeje3aBAc11bqBQUTBuZ1gac+kjt24459hhYHD19I=,1,1.0,0.0,,9.0,20150818.0,7.0,13.0,3285.242,0.5,,,,,,,,
+wNaR3nug01JBBFop1NkWkegf6Qvc7MNSuC7AgAlV3s=,1,6.0,44.0,male,3.0,20150820.0,9.0,1.0,2758.606,4.5,,,,,,,,
gBvtDgelrg/Ci2pm1fd5dS9b2pfyYcNDMtoFZ6tl07k=,1,5.0,21.0,female,9.0,20150828.0,1317.0,71.0,354582.03,18.291666666666668,38.0,30.0,149.0,149.0,0.0,20170322.0,20170422.0,0.0
rkaObNY/ek5hQgF2iN4L3/hL8VeddrbbYCxIRUlOMXE=,1,1.0,0.0,,9.0,20150903.0,48.0,0.0,10614.245,48.0,,,,,,,,
f9AM7WWKzH2bfJBr9w2bZ8mqkpf1r3Jh9LMv9M2ZFGQ=,1,9.0,20.0,male,3.0,20150906.0,1233.0,90.0,312689.78,13.54945054945055,,,,,,,,
bCMGwW99lf9xWK3tigLS8MvlxBl/1R6C8qmo5wefHuY=,1,1.0,0.0,,9.0,20150907.0,1073.0,243.0,294317.62,4.397540983606557,38.0,30.0,149.0,149.0,0.0,20170227.0,20170428.0,0.0
l5vEgOQY4r+uN/egcoE6HsEqM380gdCbHVB1c6lbcco=,1,1.0,0.0,,9.0,20150915.0,584.0,55.0,142204.0,10.428571428571429,,,,,,,,
rrxTCMR1KKgQ4EgoF2HHJmXq/m6RExAQdPDsk3e+LF8=,1,13.0,17.0,male,3.0,20150920.0,274.0,177.0,73609.375,1.5393258426966292,,,,,,,,
qZNye+Wypwm3vTZjnPOa5CD5FqTvTxxBaY8J9SakD+w=,1,1.0,0.0,,7.0,20150920.0,384.0,35.0,97585.43,10.666666666666666,41.0,30.0,99.0,99.0,1.0,20170320.0,20170320.0,1.0
Q9usvyRqcdaOr3RwXeT+RYffQEvcFeUa6kmXUb9QvDQ=,1,22.0,22.0,female,3.0,20150920.0,679.0,73.0,164112.92,9.175675675675675,38.0,30.0,149.0,149.0,0.0,20170315.0,20170418.0,0.0
7MqiEI7pQCqVXrTMwcAcJY18EamXTd/JCgM+P4moWJk=,1,8.0,33.0,male,9.0,20150922.0,254.0,13.0,79550.02,18.142857142857142,32.0,180.0,536.0,536.0,0.0,20170331.0,20170930.0,0.0
7xNkNoVMi3Sm40SjyZ8IA3OHP6/+KJUEIBY7Zfeul18=,1,13.0,31.0,male,9.0,20150924.0,238.0,50.0,65045.734,4.666666666666667,32.0,180.0,536.0,536.0,0.0,20170327.0,20170923.0,0.0
hrJ0NoC+BjSGu8bFqtvTNvSoA8uRdm93CYJg7LYS5KE=,1,13.0,25.0,male,3.0,20150930.0,806.0,104.0,206129.9,7.6761904761904765,39.0,30.0,149.0,149.0,1.0,20170331.0,20170605.0,0.0
